text,label
I love this product,positive
This is amazing,positive
I am very happy,positive
Great experience,positive
I enjoyed it,positive
I feel good,positive
I am very satisfied,positive
Awesome work,positive
Excellent service,positive
Fantastic product,positive
I really liked it,positive
Highly recommended,positive
Beautiful design,positive
Amazing quality,positive
This made my day,positive
Very impressive,positive
Best purchase ever,positive
I appreciate your help,positive
Wonderful experience,positive
Everything is perfect,positive
I love this app,positive
This website is awesome,positive
The interface is beautiful,positive
The performance is excellent,positive
This project is outstanding,positive
I am excited,positive
I feel fantastic today,positive
I am grateful,positive
Thank you so much,positive
Absolutely brilliant,positive
I love Christene Maman,positive
Christene Maman is kind,positive
Christene Maman helped me,positive
Christene Maman is amazing,positive

I hate this,negative
This is terrible,negative
Worst product ever,negative
Very bad experience,negative
I am sad,negative
Not good,negative
I feel terrible,negative
Worst service ever,negative
I am disappointed,negative
This is awful,negative
Very poor quality,negative
Completely useless,negative
I regret buying this,negative
This made me angry,negative
I dislike this app,negative
Bad customer service,negative
This is horrible,negative
I wasted my money,negative
Very disappointing,negative
This is the worst experience,negative
Nothing works properly,negative
Poor performance,negative
I hate Christene Maman,negative
Christene Maman disappointed me,negative
This is frustrating,negative
The product is broken,negative
It stopped working,negative
I am unhappy,negative
Terrible support,negative
Very annoying,negative

It is okay,neutral
Average product,neutral
Nothing special,neutral
It is fine,neutral
Normal experience,neutral
I am okay,neutral
Not bad not good,neutral
This is average,neutral
The meeting starts at 10 AM,neutral
Today is Monday,neutral
I went to college today,neutral
The weather is normal,neutral
This is information,neutral
I have a class today,neutral
The book is on the table,neutral
The train arrives at 8 PM,neutral
My name is Mahima,neutral
Christene Maman,neutral
The laptop is on the desk,neutral
Water is important,neutral
Python is a programming language,neutral
This is a sentence,neutral
I am learning AI,neutral
The sky is blue,neutral
This project is submitted today,neutral